ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-09-08,172.08493421097154,171.82943370164722,187.15942754056505,172.08493421097154,172.08493421097154,7.480818009394868,7.480818009394868,7.480818009394868,3.1248987741853957,3.1248987741853957,3.1248987741853957,4.355919235209472,4.355919235209472,4.355919235209472,0.0,0.0,0.0,179.56575222036642
2023-09-11,172.54414652284524,170.5797636668842,185.75214116832504,172.54414652284524,172.54414652284524,5.550834150485676,5.550834150485676,5.550834150485676,3.161506269971907,3.161506269971907,3.161506269971907,2.38932788051377,2.38932788051377,2.38932788051377,0.0,0.0,0.0,178.09498067333092
2023-09-12,172.6972172934698,170.14975472622712,184.54477619435553,172.6972172934698,172.6972172934698,4.857975114909757,4.857975114909757,4.857975114909757,3.086413528911949,3.086413528911949,3.086413528911949,1.7715615859978069,1.7715615859978069,1.7715615859978069,0.0,0.0,0.0,177.55519240837955
2023-09-13,172.85028806409437,170.01607717624424,184.0335611182628,172.85028806409437,172.85028806409437,4.032358869112097,4.032358869112097,4.032358869112097,2.851686827396337,2.851686827396337,2.851686827396337,1.1806720417157606,1.1806720417157606,1.1806720417157606,0.0,0.0,0.0,176.88264693320647
2023-09-14,173.00335883471894,169.70668926661565,184.04513706368868,173.00335883471894,173.00335883471894,3.4273540743798057,3.4273540743798057,3.4273540743798057,2.80688321764365,2.80688321764365,2.80688321764365,0.6204708567361563,0.6204708567361563,0.6204708567361563,0.0,0.0,0.0,176.43071290909873
2023-09-15,173.1564296053435,169.44526302682027,183.19852946877015,173.1564296053435,173.1564296053435,3.218918358281622,3.218918358281622,3.218918358281622,3.1248987741780976,3.1248987741780976,3.1248987741780976,0.09401958410352444,0.09401958410352444,0.09401958410352444,0.0,0.0,0.0,176.37534796362513
2023-09-18,173.61564191721723,168.46981993686768,182.82564857417998,173.61564191721723,173.61564191721723,1.8973432204410283,1.8973432204410283,1.8973432204410283,3.1615062699873864,3.1615062699873864,3.1615062699873864,-1.2641630495463585,-1.2641630495463585,-1.2641630495463585,0.0,0.0,0.0,175.51298513765826
2023-09-19,173.76871268784177,168.33753348114547,182.49937772248308,173.76871268784177,173.76871268784177,1.4454506524776187,1.4454506524776187,1.4454506524776187,3.086413528904194,3.086413528904194,3.086413528904194,-1.6409628764265753,-1.6409628764265753,-1.6409628764265753,0.0,0.0,0.0,175.2141633403194
2023-09-20,173.92178345846636,167.17096309732295,182.026140655994,173.92178345846636,173.92178345846636,0.8710535817371664,0.8710535817371664,0.8710535817371664,2.8516868273960436,2.8516868273960436,2.8516868273960436,-1.9806332456588776,-1.9806332456588776,-1.9806332456588776,0.0,0.0,0.0,174.79283704020352
2023-09-21,174.07485422909093,167.49610337997132,182.0289210262899,174.07485422909093,174.07485422909093,0.5221421507064514,0.5221421507064514,0.5221421507064514,2.8068832176467997,2.8068832176467997,2.8068832176467997,-2.2847410669403483,-2.2847410669403483,-2.2847410669403483,0.0,0.0,0.0,174.5969963797974
2023-09-22,174.2279249997155,167.8868903369043,181.84527850681164,174.2279249997155,174.2279249997155,0.5694284346350086,0.5694284346350086,0.5694284346350086,3.124898774201352,3.124898774201352,3.124898774201352,-2.555470339566343,-2.555470339566343,-2.555470339566343,0.0,0.0,0.0,174.7973534343505
2023-09-25,174.93887958459806,167.56083953512663,182.33190309463254,174.93887958459806,174.93887958459806,-0.035135107840628114,-0.035135107840628114,-0.035135107840628114,3.1615062699870053,3.1615062699870053,3.1615062699870053,-3.1966413778276337,-3.1966413778276337,-3.1966413778276337,0.0,0.0,0.0,174.90374447675742
2023-09-26,175.17586444622557,167.9120369928828,182.27533814838372,175.17586444622557,175.17586444622557,-0.2784787690307771,-0.2784787690307771,-0.2784787690307771,3.0864135289054566,3.0864135289054566,3.0864135289054566,-3.3648922979362337,-3.3648922979362337,-3.3648922979362337,0.0,0.0,0.0,174.8973856771948
2023-09-27,175.41284930785307,167.70581613678306,182.36814790396124,175.41284930785307,175.41284930785307,-0.6650115100998695,-0.6650115100998695,-0.6650115100998695,2.85168682739674,2.85168682739674,2.85168682739674,-3.5166983374966096,-3.5166983374966096,-3.5166983374966096,0.0,0.0,0.0,174.7478377977532
2023-09-28,175.6498341694806,167.85983529846882,181.95712265136564,175.6498341694806,175.6498341694806,-0.8490452501942191,-0.8490452501942191,-0.8490452501942191,2.80688321764995,2.80688321764995,2.80688321764995,-3.655928467844169,-3.655928467844169,-3.655928467844169,0.0,0.0,0.0,174.8007889192864
2023-09-29,175.88681903110813,167.64945503718363,182.35665144934538,175.88681903110813,175.88681903110813,-0.6614740640028985,-0.6614740640028985,-0.6614740640028985,3.1248987741863608,3.1248987741863608,3.1248987741863608,-3.78637283818926,-3.78637283818926,-3.78637283818926,0.0,0.0,0.0,175.22534496710523
2023-10-02,176.59777361599066,168.06331087629812,182.60352868779876,176.59777361599066,176.59777361599066,-0.998330971508514,-0.998330971508514,-0.998330971508514,3.161506269994554,3.161506269994554,3.161506269994554,-4.159837241503068,-4.159837241503068,-4.159837241503068,0.0,0.0,0.0,175.59944264448214
2023-10-03,176.83475847761815,168.55503919151658,182.95947751154645,176.83475847761815,176.83475847761815,-1.2020257941326615,-1.2020257941326615,-1.2020257941326615,3.0864135289067187,3.0864135289067187,3.0864135289067187,-4.2884393230393805,-4.2884393230393805,-4.2884393230393805,0.0,0.0,0.0,175.6327326834855
2023-10-04,177.0717433392457,168.32800887661733,182.67095964329218,177.0717433392457,177.0717433392457,-1.5714692420064427,-1.5714692420064427,-1.5714692420064427,2.8516868273964464,2.8516868273964464,2.8516868273964464,-4.423156069402889,-4.423156069402889,-4.423156069402889,0.0,0.0,0.0,175.50027409723927
2023-10-05,177.3087282008732,167.88556026346717,183.0995644701958,177.3087282008732,177.3087282008732,-1.7588683840798172,-1.7588683840798172,-1.7588683840798172,2.8068832176531004,2.8068832176531004,2.8068832176531004,-4.565751601732917,-4.565751601732917,-4.565751601732917,0.0,0.0,0.0,175.54985981679337
2023-10-06,177.5457130625007,168.62592035531196,183.37587536041156,177.5457130625007,177.5457130625007,-1.5926153449561387,-1.5926153449561387,-1.5926153449561387,3.124898774186754,3.124898774186754,3.124898774186754,-4.717514119142892,-4.717514119142892,-4.717514119142892,0.0,0.0,0.0,175.95309771754458
2023-10-09,178.25666764738327,169.21310294851668,183.81558598279045,178.25666764738327,178.25666764738327,-2.0721060694775675,-2.0721060694775675,-2.0721060694775675,3.161506269970471,3.161506269970471,3.161506269970471,-5.2336123394480385,-5.2336123394480385,-5.2336123394480385,0.0,0.0,0.0,176.1845615779057
